W/L,Fighter,Kd,Str,Td,Sub,Event,Method,Round,Time,fighter_url
loss,Danny Abbadi  Jorge Gurgel,0  0,56  58,0  1,0  1,"UFC 63: Hughes vs Penn  Sep. 23, 2006",S-DEC,3.0,5:00,http://ufcstats.com/fighter-details/15df64c02b6b0fde
loss,Danny Abbadi  Kalib Starnes,0  0,3  21,0  1,0  1,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  Jun. 24, 2006",SUB  Rear Naked Choke,1.0,2:56,http://ufcstats.com/fighter-details/15df64c02b6b0fde
