Fighter,Total Fights,Wins,Finishes,Submission Wins,Total Fight Night Bonuses,Total Fight Time,Submission Attempts,Decision Wins,KO/TKO Wins,Knockdowns Landed,Control Time,Top Position Time,Takedowns Landed,Total Strikes Landed,Sig Strikes Landed,Win Streak,Title Fight Wins,Bottom Position Percentage,Takedown Defense,Control Time Percentage,Striking Differential,Sig Strike Defense,Takedown Accuracy,Longest Avg. Fight Time,Top Position Percentage,Shortest Avg. Fight Time,Bottom Position Time,Knockdown Avg. per 15 Min.,Strikes Landed per Min.,Strikes Absorbed per Min.,Sig Strike Accuracy,Submission Avg. per 15 Min.
Grant Dawson,,,,,,,,,,,,1:35:15,,,,,,,,65.1%,,,,,56.1%,,,,,,,
Demetrious Johnson,,,,,,,,,,,,,74,,,13,12,,,,,,,18:34,,,,,,,,
Gleison Tibau,,,,,,,,,,,,,84,,,,,,92.1%,,,,,,,,,,,,,
Alexander Volkanovski,,,,,,,,,,,,,,,1815,12,8,,,,,,,,,,,,,,,
Joanna Jedrzejczyk,,,,,,,,,,,,,,,1754,,,,,,3.03,,,18:37,,,,,,,,
King Green,,,,,,,,,,,,,,,2124,,,,,,,,,,,,,,,,,
Jessica Andrade,,,,,,,,,,,,,,,1824,,,,,,,,,,,,,,,,,
Khabib Nurmagomedov,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Amanda Nunes,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,
Tony Ferguson,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Jose Aldo,,,,,,,,,,,,,,,,,8,,91.6%,,,,,,,,,,,,,
Israel Adesanya,,,,,,,,,,,,,,,,,8,,,,,,,17:09,,,,,,,,
Tom Aspinall,,,,,,,,,,,,,,,,,,0.07%,,,4.01,,,,,2:18,0:01,3.27,7.63,,,
Ateba Gautier,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,0:00,3.27,,,,
Ikram Aliskerov,,,,,,,,,,,,,,,,,,0.12%,,,,,,,,,0:03,,,,,
Philipe Lins,,,,,,,,,,,,,,,,,,0.13%,,,,,,,,,0:05,,,,,
Zubaira Tukhugov,,,,,,,,,,,,,,,,,,0.12%,,,,,,,,,0:08,,,,,
Adriano Martins,,,,,,,,,,,,,,,,,,0.26%,,,,,,,,,0:09,,,,,
Riki Fukuda,,,,,,,,,,,,,,,,,,0.22%,,,,,,,,,0:10,,,,,
Carlos Ulberg,,,,,,,,,,,,,,,,,,0.26%,,,,,,,,,,,,,,
Alice Ardelean,,,,,,,,,,,,,,,,,,0.26%,,,,,,,,,,,,,,
Shane Burgos,,,,,,,,,,,,,,,,,,,91.5%,,,,,,,,,,7.4,,,
Julio Arce,,,,,,,,,,,,,,,,,,,96.2%,,,,,,,,,,,,,
Ilia Topuria,,,,,,,,,,,,,,,,,,,95.2%,,,,,,,,,,,,,
Eddie Wineland,,,,,,,,,,,,,,,,,,,93.3%,,,,,,,,,,,,,
Jimmie Rivera,,,,,,,,,,,,,,,,,,,92.6%,,,,,,,,,,,,,
Renan Barao,,,,,,,,,,,,,,,,,,,92.5%,,,,,,,,,,,,,
Bartosz Fabinski,,,,,,,,,,,,,,,,,,,,79.1%,,,70.6%,,62.2%,,,,,,,
Gregor Gillespie,,,,,,,,,,,,,,,,,,,,71.9%,,,,,52.5%,,,,,,,
Pat Sabatini,,,,,,,,,,,,,,,,,,,,71.0%,,,,,51.1%,,,,,1.16,,
Jailton Almeida,,,,,,,,,,,,,,,,,,,,69.9%,,,,,63.7%,,,,,1.32,,
Chael Sonnen,,,,,,,,,,,,,,,,,,,,69.3%,,,,,63.0%,,,,,1.32,,
Matt Lindland,,,,,,,,,,,,,,,,,,,,66.1%,,,,,54.3%,,,,,1.31,,
Philip De Fries,,,,,,,,,,,,,,,,,,,,65.6%,,,,,,,,,,,,
Charlie Brenneman,,,,,,,,,,,,,,,,,,,,61.7%,,,,,54.8%,,,,,,,
Terrance McKinney,,,,,,,,,,,,,,,,,,,,,3.19,,,,,2:28,,,7.95,,,
Todd Duffee,,,,,,,,,,,,,,,,,,,,,3.26,,,,,3:26,,2.91,,,,
Ciryl Gane,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,61.7%,
Cristiane Justino,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,,
Wang Cong,,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,,,,
Navajo Stirling,,,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,
Michael Morales,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,
Phil Davis,,,,,,,,,,,,,,,,,,,,,,72.3%,,,,,,,,,,
Ryan Bader,,,,,,,,,,,,,,,,,,,,,,71.8%,,,,,,,,,,
Danielle Taylor,,,,,,,,,,,,,,,,,,,,,,71.7%,,,,,,,,,,
Mara Romero Borella,,,,,,,,,,,,,,,,,,,,,,71.2%,,,,,,,,,,
Vaughan Lee,,,,,,,,,,,,,,,,,,,,,,70.2%,,,,,,,,,,
Luigi Fioravanti,,,,,,,,,,,,,,,,,,,,,,69.9%,,,,,,,,,,
Desmond Green,,,,,,,,,,,,,,,,,,,,,,69.0%,,,,,,,,,,
Enrique Barzola,,,,,,,,,,,,,,,,,,,,,,68.7%,,,,,,,,,,
Jacqueline Cavalcanti,,,,,,,,,,,,,,,,,,,,,,68.6%,,,,,,,,,,
Renato Sobral,,,,,,,,,,,,,,,,,,,,,,,66.7%,,,,,,,1.25,,3.16
Nordine Taleb,,,,,,,,,,,,,,,,,,,,,,,76.2%,,,,,,,,,
Taila Santos,,,,,,,,,,,,,,,,,,,,,,,75.0%,,,,,,,,,
Robbie Lawler,,,,,,,,,,,,,,,,,,,,,,,73.9%,,,,,,,,,
Jonathan Goulet,,,,,,,,,,,,,,,,,,,,,,,70.0%,,,,,,,,,
Diego Brandao,,,,,,,,,,,,,,,,,,,,,,,68.0%,,,,,,,,,
Melvin Guillard,,,,,,,,,,,,,,,,,,,,,,,66.7%,,,,,,,,,
Makhmud Muradov,,,,,,,,,,,,,,,,,,,,,,,66.7%,,,,,,,,,
Joanderson Brito,,,,,,,,,,,,,,,,,,,,,,,66.7%,,,,,,,,,
Fatima Kline,,,,,,,,,,,,,,,,,,,,,,,66.7%,,,,,,,,,
Dominick Cruz,,,,,,,,,,,,,,,,,,,,,,,,18:20,,,,,,,,
Benson Henderson,,,,,,,,,,,,,,,,,,,,,,,,18:02,,,,,,,,
Petr Yan,,,,,,,,,,,,,,,,,,,,,,,,17:38,,,,,,,,
Marvin Vettori,,,,,,,,,,,,,,,,,,,,,,,,17:09,,,,,,,,
Khamzat Chimaev,,,,,,,,,,,,,,,,,,,,,,,,,52.6%,,,,,,,
Drew McFedries,,,,,,,,,,,,,,,,,,,,,,,,,,2:20,,4.27,,,,
James Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,2:53,,,,,,
Manuel Torres,,,,,,,,,,,,,,,,,,,,,,,,,,2:56,,2.93,,,,
Ronda Rousey,,,,,,,,,,,,,,,,,,,,,,,,,,3:06,,,,,,
Chris Daukaus,,,,,,,,,,,,,,,,,,,,,,,,,,3:11,,3.54,,,,
Cyril Asker,,,,,,,,,,,,,,,,,,,,,,,,,,3:24,,,,,,
Gadzhimurad Antigulov,,,,,,,,,,,,,,,,,,,,,,,,,,3:27,,,,,,
Sam Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,0:07,,,,,
Chris Padilla,,,,,,,,,,,,,,,,,,,,,,,,,,,0:09,,,,,
Ike Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,0:10,,,,,
Uros Medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,
Carlos Prates,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,
Mauricio Ruffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,
Shane Carwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,
Joshua Van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,
Casey O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,,,
Leslie Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,,,
Emily Ducote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,,,
Hyder Amil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,,,
Esteban Ribovics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,,,
Daniel Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,
Pete Spratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,
Ivan Salaverry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,
Jon Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,
Jeremiah Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,
Ricco Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,
Alistair Overeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3%,
Shara Magomedov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8%,
Josh Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5%,
Alex Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4%,
Phil Hawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7%,
Anthony Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7%,
Sean O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3%,
Tatiana Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2%,
Chidi Njokuani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0%,
Paul Sass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
John Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
TJ Waldburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79
Jaqueline Amorim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27
Dustin Hazelett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
Shannon Gugerty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41
Tim Credeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29
Jason High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
Dave Menne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
